type,slope,resonance,input_amplitude,rms,early_rms,output_peak,fundamental_amplitude,finite,stage1_limit_hits,stage2_limit_hits,stage1_max_prelimit,stage2_max_prelimit
LPF,12,37,0.001,1.45366098613e-05,1.45360111395e-05,0.00092078524176,2.05555330594e-05,1,0,0,0.00433920783825,0.00361548678807
LPF,12,38,0.001,1.52021307771e-05,1.52015026799e-05,0.000920792284887,2.14966181049e-05,1,0,0,0.00453771353298,0.0037809225151
LPF,12,39,0.001,1.59005797489e-05,1.58999209093e-05,0.000920799095184,2.24842651766e-05,1,0,0,0.00474603810461,0.00395454465169
LPF,12,40,0.001,1.66339981493e-05,1.66333070991e-05,0.000920805730857,2.35213608915e-05,1,0,0,0.00496479854698,0.00413685955204
LPF,12,41,0.001,1.74045762431e-05,1.74038514301e-05,0.000920812075492,2.46110024082e-05,1,0,0,0.0051946380108,0.00432841352617
LPF,12,42,0.001,1.8214666223e-05,1.82139059893e-05,0.000920818187296,2.57565158599e-05,1,0,0,0.00543625883135,0.00452979056906
LPF,12,43,0.001,1.90667965441e-05,1.90659991252e-05,0.000920824124478,2.69614766245e-05,1,0,0,0.00569042098183,0.00474161819853
LPF,12,44,0.001,1.99636876536e-05,1.99628511546e-05,0.000920829828829,2.82297315673e-05,1,0,0,0.00595792532185,0.00496457269442
LPF,12,45,0.001,2.09082693766e-05,2.09073917899e-05,0.000920835358556,2.95654236254e-05,1,0,0,0.0062396438939,0.0051993851267
LPF,12,46,0.001,2.19037000991e-05,2.19027792735e-05,0.000920840655454,3.09730189334e-05,1,0,0,0.00653652875506,0.00544683777972
LPF,12,47,0.001,2.29533879173e-05,2.29524215541e-05,0.000920845835935,3.24573367299e-05,1,0,0,0.00684958177936,0.00570777757798
LPF,12,48,0.001,2.40610141133e-05,2.40599997862e-05,0.000920850783587,3.40235825534e-05,1,0,0,0.00717989783684,0.00598311907363
LPF,12,49,0.001,2.52305590601e-05,2.52294941067e-05,0.000920855556615,3.56773848734e-05,1,0,0,0.00752866042254,0.00627385457138
LPF,12,50,0.001,2.64663311034e-05,2.64652127302e-05,0.00092086015502,3.74248359306e-05,1,0,0,0.00789715653126,0.00658105094767
LPF,12,51,0.001,2.77729985781e-05,2.77718237694e-05,0.000920864578802,3.92725370108e-05,1,0,0,0.00828676974045,0.00690586584047
LPF,12,52,0.001,2.9155625384e-05,2.91543909297e-05,0.000920868827961,4.12276487498e-05,1,0,0,0.00869899949952,0.00724955967593
LPF,12,53,0.001,3.06197107608e-05,3.06184131683e-05,0.000920872960705,4.32979473782e-05,1,0,0,0.0091354773307,0.00761349291796
LPF,12,54,0.001,3.21712335619e-05,3.21698691298e-05,0.000920876977034,4.54918873271e-05,1,0,0,0.00959797572778,0.00799914833273
LPF,12,55,0.001,3.381670182e-05,3.38152665377e-05,0.000920880760532,4.78186713161e-05,1,0,0,0.0100884221809,0.00840813409558
LPF,12,56,0.001,3.55632082799e-05,3.55616978401e-05,0.000920884485822,5.02883288799e-05,1,0,0,0.0106094159561,0.00884221371504
LPF,12,57,0.001,3.7418492535e-05,3.74169023042e-05,0.000920888036489,5.29118042333e-05,1,0,0,0.0111628713741,0.00930329319525
LPF,12,58,0.001,3.93910110172e-05,3.93893360016e-05,0.000920891412534,5.57010552398e-05,1,0,0,0.0117512992606,0.00979346294356
LPF,12,59,0.001,4.14900156376e-05,4.14882504539e-05,0.00092089473037,5.86691646149e-05,1,0,0,0.0123774595605,0.0103150072862
LPF,12,60,0.001,4.37256424715e-05,4.37237812588e-05,0.000920897873584,6.18304653308e-05,1,0,0,0.0130443759562,0.0108704252151
LPF,12,61,0.001,4.61090120247e-05,4.61070485127e-05,0.000920900900383,6.52006823992e-05,1,0,0,0.0137553657175,0.0114627263308
LPF,12,62,0.001,4.86523425213e-05,4.8650269852e-05,0.000920903868973,6.87970930657e-05,1,0,0,0.0145140734348,0.0120949834765
LPF,12,63,0.001,5.13690786268e-05,5.13668894054e-05,0.000920906662941,7.26387088324e-05,1,0,0,0.0153245091741,0.0127703481634
LPF,12,64,0.001,5.42740374832e-05,5.42717236859e-05,0.000920909340493,7.67464819588e-05,1,0,0,0.0161910916299,0.0134925037147
LPF,12,65,0.001,5.73835750799e-05,5.73811279411e-05,0.000920911959838,8.11435407197e-05,1,0,0,0.0171186968812,0.0142655158118
LPF,12,66,0.001,6.07157759976e-05,6.07131860301e-05,0.00092091440456,8.58554577137e-05,1,0,0,0.0181127153161,0.0150938794373
LPF,12,67,0.001,6.42906707803e-05,6.42879275945e-05,0.000920916791074,9.0910557239e-05,1,0,0,0.0191791126533,0.0159825723068
LPF,12,68,0.001,6.81304847049e-05,6.81275769999e-05,0.00092091911938,9.63402670677e-05,1,0,0,0.020324494563,0.0169371156161
LPF,12,69,0.001,7.22599236316e-05,7.22568390209e-05,0.000920921273064,0.000102179522654,1,0,0,0.0215561883551,0.017963644828
LPF,12,70,0.001,7.67065040012e-05,7.67032288952e-05,0.000920923426747,0.000108467233768,1,0,0,0.022882635569,0.0190689870502
LPF,12,71,0.001,8.15009329012e-05,8.14974524911e-05,0.000920925405808,0.000115246821932,1,0,0,0.0243128755226,0.0202607437588
LPF,12,72,0.001,8.66775492642e-05,8.66738471909e-05,0.000920927326661,0.000122566844296,1,0,0,0.0258571251102,0.0215475941239
LPF,12,73,0.001,9.22748356702e-05,9.2270893916e-05,0.000920929189306,0.000130481717359,1,0,0,0.0275268611335,0.0229390458941
LPF,12,74,0.001,9.83360144132e-05,9.83318131569e-05,0.000920930935536,0.000139052559837,1,0,0,0.0293349700384,0.0244458158139
LPF,12,75,0.001,0.0001049097444,0.000104905261697,0.000920932623558,0.000148348178117,1,0,0,0.0312959680232,0.0260799956274
LPF,12,76,0.001,0.000112050937479,0.000112046149069,0.000920934253372,0.00015844622059,1,0,0,0.0334262786804,0.0278552288985
LPF,12,77,0.001,0.000119821718097,0.000119816597104,0.000920935766771,0.000169434534664,1,0,0,0.0357444015008,0.0297869995052
LPF,12,78,0.001,0.000128292556301,0.000128287072738,0.000920937221963,0.000181412768886,1,0,0,0.038271355171,0.0318927985286
LPF,12,79,0.001,0.000137543608351,0.000137537728915,0.000920938618947,0.00019449426864,1,0,0,0.0410310654618,0.0341925542237
LPF,12,80,0.001,0.0001476663107,0.000147659998021,0.000920939957723,0.000208808330131,1,0,0,0.0440508004254,0.0367090000686
LPF,12,81,0.001,0.000158765281279,0.00015875849366,0.000920941180084,0.000224502888903,1,0,0,0.0473617688719,0.0394681406195
LPF,12,82,0.001,0.000170960597855,0.000170953288381,0.000920942402445,0.000241747741564,1,0,0,0.0509997917963,0.042499826497
LPF,12,83,0.001,0.000184390538561,0.000184382654469,0.00092094350839,0.000260738421046,1,0,0,0.0550061193829,0.0458384328191
LPF,12,84,0.001,0.000199214893499,0.000199206375084,0.000920944614336,0.000281700879393,1,0,0,0.0594284191174,0.0495236825978
LPF,12,85,0.001,0.00021561898799,0.000215609767658,0.000920945603866,0.000304897176864,1,0,0,0.0643219758395,0.0536016465329
LPF,12,86,0.001,0.000233818588647,0.000233808589607,0.000920946593396,0.000330632419389,1,0,0,0.0697511556209,0.0581259630173
LPF,12,87,0.001,0.000254065924186,0.000254055058783,0.000920947466511,0.000359263272329,1,0,0,0.0757912015639,0.0631593346363
LPF,12,88,0.001,0.00027665710983,0.000276645277976,0.000920948339626,0.000391208458995,1,0,0,0.0825304487317,0.0687753739433
LPF,12,89,0.001,0.000301941359073,0.000301928445333,0.000920949154533,0.000426961786589,1,0,0,0.0900730721517,0.07506089346
LPF,12,90,0.001,0.000330332480758,0.000330318352355,0.000920949911233,0.000467108403712,1,0,0,0.098542516376,0.082118763647
LPF,12,91,0.001,0.000362323324338,0.000362307827291,0.000920950609725,0.00051234522676,1,0,0,0.108085804916,0.0900715040966
LPF,12,92,0.001,0.00039850405365,0.00039848700821,0.000920951308217,0.000563506780055,1,0,0,0.118878991591,0.0990658263263
LPF,12,93,0.001,0.000439585434541,0.000439566628026,0.000920951948501,0.00062159812583,1,0,0,0.131134107706,0.109278423089
LPF,12,94,0.001,0.000486428735593,0.00048640790568,0.000920952530578,0.000687837145517,1,0,0,0.145108084828,0.120923404024
LPF,12,95,0.001,0.000540084430817,0.000540061212041,0.000920953054447,0.00076370926749,1,0,0,0.16111431097,0.134261925808
LPF,12,96,0.001,0.000601842674001,0.00060181639369,0.000920953578316,0.000851038840591,1,0,0,0.179537731322,0.149614776101
LPF,12,97,0.001,0.000673299536917,0.000673268477257,0.000952120753936,0.000952082798599,1,0,0,0.200854771041,0.167378975866
LPF,12,98,0.001,0.000756444203097,0.000756403115201,0.00106968986802,0.0010696539569,1,0,0,0.22565988868,0.18804990722
LPF,12,99,0.001,0.000853773328983,0.000853705739402,0.00120734213851,0.00120728272395,1,0,0,0.25470134977,0.212251124715
LPF,12,100,0.001,0.000968438771361,0.000968295315021,0.00136958574876,0.00136942598481,1,0,0,0.28892996634,0.2407749715
LPF,12,101,0.001,0.00110443193297,0.00110407488618,0.00156220572535,0.0015617277051,1,0,0,0.329566070518,0.274638389495
LPF,12,102,0.001,0.00126679878836,0.00126587349044,0.0017926908331,0.00179132261517,1,0,0,0.37819148372,0.315159556788
LPF,12,103,0.001,0.00146185946949,0.00145952569464,0.00207084347494,0.00206714506026,1,0,0,0.436873660431,0.364061327634
LPF,12,104,0.001,0.00169737058134,0.0016917999777,0.00240951217711,0.00240015240646,1,0,0,0.508323053539,0.423602333369
LPF,12,105,0.001,0.00198251736427,0.00197005940478,0.00282539147884,0.00280329524882,1,0,0,0.596067548816,0.496722265409
LPF,12,106,0.001,0.00232756818125,0.00230154091058,0.00333967385814,0.00329098215563,1,0,0,0.704585021034,0.58715216416
LPF,12,107,0.001,0.00274299512016,0.00269219780671,0.00397791387513,0.00387774360901,1,0,0,0.839252703709,0.699371975982
LPF,12,108,0.001,0.00323790480236,0.00314517327355,0.00476792594418,0.00457587515807,1,0,0,1.00595483294,0.838283340925
LPF,12,109,0.001,0.00381777414965,0.00365914031122,0.0057355533354,0.00539210453396,1,0,0,1.21015896423,1.00843972022
LPF,12,110,0.001,0.0044817569499,0.0042269003509,0.00689757755026,0.00632377463454,1,0,0,1.45542140222,1.21280116818
LPF,12,111,0.001,0.00522016428208,0.00483470209672,0.00825308542699,0.00735552112104,1,0,0,1.74156517647,1.4512167316
LPF,12,112,0.001,0.00601298215656,0.00546266046623,0.00977588724345,0.00845768923901,1,0,0,2.06307513357,1.71908819355
LPF,12,113,0.001,0.00683027769289,0.00608641284661,0.0114112542942,0.00958753535004,1,0,0,2.40840434999,2.00679327443
LPF,12,114,0.001,0.00763493405861,0.00667981378458,0.0130794690922,0.0106935445105,1,0,0,2.76074558036,2.30033483355
LPF,12,115,0.001,0.00838742810712,0.00721816310422,0.0146864634007,0.0117222032974,1,0,0,3.10026249128,2.58315920713
LPF,12,116,0.001,0.00905162802804,0.00768130725734,0.0161391515285,0.0126257228051,1,0,0,3.40731096137,2.83894307317
LPF,12,117,0.001,0.00960020277062,0.00805600792787,0.0173612907529,0.0133688948042,1,0,0,3.66566785782,3.05415989435
LPF,12,118,0.001,0.0100183896625,0.00833720637917,0.0183056760579,0.0139336103306,1,0,0,3.86533065883,3.22048037296
LPF,12,119,0.001,0.010305477712,0.00852813496778,0.0189600810409,0.0143203997483,1,0,0,4.00369635449,3.33573853383
LPF,12,120,0.001,0.0104741613007,0.0086395417313,0.0193468220532,0.0145473309363,1,0,0,4.08547194937,3.40385680678
LPF,12,121,0.001,0.0105486742007,0.00868857424837,0.0195181760937,0.0146474956998,1,0,0,4.12170498206,3.43403844787
LPF,12,122,0.001,0.0105637031377,0.00869845070798,0.0195527728647,0.0146676927465,1,0,0,4.12902113681,3.44013269985
LPF,12,123,0.001,0.027309355123,0.0273112933256,0.0386125072837,0.038532972144,1,20170,0,8.15661071185,6.79420013089
LPF,12,124,0.001,0.0274785439262,0.0274835064171,0.0388438664377,0.0376110522407,1,24995,0,8.2144310439,6.84219511673
LPF,12,125,0.001,0.0276078735629,0.0276054423129,0.0390138663352,0.0308862748701,1,27798,0,8.25754944716,6.87965294254
LPF,12,126,0.001,0.0277250246135,0.0277243035542,0.0391498804092,0.0173228294751,1,29980,0,8.29410537535,6.91135774314
LPF,12,127,0.001,0.0278208424418,0.0278198567751,0.0392714180052,0.00383208731139,1,31779,0,8.32605876589,6.93959504768
LPF,12,0,1.000,0.00167784577088,0.00167795525785,0.918718338013,0.00237224073109,1,0,0,0.590668706109,0.514547687832
LPF,12,1,1.000,0.00216757745038,0.00216762559978,0.918841183186,0.00306482211203,1,0,0,0.687819189586,0.593291746694
LPF,12,2,1.000,0.00242844499359,0.00242846711717,0.918893396854,0.00343373036885,1,0,0,0.739928820847,0.638760969799
LPF,12,3,1.000,0.00265864594225,0.00265864752558,0.91893362999,0.00375926675547,1,0,0,0.807912831026,0.696414727708
LPF,12,4,1.000,0.00287658114152,0.00287656485485,0.918967604637,0.00406745477645,1,0,0,0.8695852615,0.748420687427
LPF,12,5,1.000,0.00308938719056,0.00308935461943,0.918997466564,0.00436838740515,1,0,0,0.92733992882,0.796881948123
LPF,12,6,1.000,0.00330079163872,0.00330074380367,0.919024288654,0.00466733633338,1,0,0,0.990230407768,0.842856724302
LPF,12,7,1.000,0.00351309299089,0.0035130305858,0.919048786163,0.00496755220766,1,0,0,1.05359751524,0.887181118252
LPF,12,8,1.000,0.00372787820439,0.00372780169029,0.919071435928,0.00527127935534,1,0,0,1.11741421349,0.936024797949
LPF,12,9,1.000,0.00394634029406,0.00394624998242,0.919092535973,0.00558020496093,1,0,0,1.18192324795,0.99029355688
LPF,12,10,1.000,0.00416943869475,0.00416933477291,0.919112324715,0.0058956858605,1,0,0,1.24811722366,1.04524359655
