type,slope,resonance,input_amplitude,rms,early_rms,output_peak,fundamental_amplitude,finite,stage1_limit_hits,stage2_limit_hits,stage1_max_prelimit,stage2_max_prelimit
LPF,12,37,0.001,6.03132752126e-06,6.03112174561e-06,0.000920578429941,8.52854017737e-06,1,0,0,0.00180281107022,0.00323637338938
LPF,12,38,0.001,6.19346247669e-06,6.19324846233e-06,0.000920586870052,8.75781034922e-06,1,0,0,0.00185112599537,0.00341243979487
LPF,12,39,0.001,6.36053898849e-06,6.3603165537e-06,0.000920595193747,8.99406810091e-06,1,0,0,0.00190093831446,0.00359871859989
LPF,12,40,0.001,6.53279295862e-06,6.53256191483e-06,0.000920603401028,9.2376470128e-06,1,0,0,0.00195229557563,0.00379612331123
LPF,12,41,0.001,6.71047296722e-06,6.71023310609e-06,0.000920611491892,9.48889859274e-06,1,0,0,0.00200526554444,0.00400532272955
LPF,12,42,0.001,6.89384122539e-06,6.8935923326e-06,0.000920619408134,9.74819362344e-06,1,0,0,0.0020599243429,0.00422710589307
LPF,12,43,0.001,7.08317461561e-06,7.08291645838e-06,0.000920627266169,1.00159236337e-05,1,0,0,0.00211637481642,0.00446238046425
LPF,12,44,0.001,7.27876585062e-06,7.27849818967e-06,0.000920635007787,1.02925025369e-05,1,0,0,0.0021746940301,0.0047121249176
LPF,12,45,0.001,7.48092466372e-06,7.48064723923e-06,0.000920642632991,1.05783683146e-05,1,0,0,0.00223496718145,0.00497740442434
LPF,12,46,0.001,7.68997914555e-06,7.6896916899e-06,0.000920650141779,1.08739849063e-05,1,0,0,0.00229729314625,0.00525937876775
LPF,12,47,0.001,7.90627715858e-06,7.90597938234e-06,0.00092065759236,1.11798442102e-05,1,0,0,0.00236179201807,0.00555930301329
LPF,12,48,0.001,8.13018791239e-06,8.12987950911e-06,0.000920664868318,1.14964683102e-05,1,0,0,0.00242855774289,0.00587854668559
LPF,12,49,0.001,8.36210366548e-06,8.36178432149e-06,0.000920672086067,1.18244118826e-05,1,0,0,0.00249770583847,0.00621860290308
LPF,12,50,0.001,8.60244151019e-06,8.60211087925e-06,0.000920679187402,1.21642647201e-05,1,0,0,0.00256937621035,0.0065811022457
LPF,12,51,0.001,8.85164547911e-06,8.85130321367e-06,0.000920686172321,1.25166547105e-05,1,0,0,0.00264368878416,0.00696782072772
LPF,12,52,0.001,9.11018867022e-06,9.10983437232e-06,0.000920693099033,1.28822508414e-05,1,0,0,0.0027207832753,0.00738070338283
LPF,12,53,0.001,9.37857570912e-06,9.37820899334e-06,0.000920699909329,1.32617666822e-05,1,0,0,0.00280082256936,0.0078218797899
LPF,12,54,0.001,9.65734536699e-06,9.65696580177e-06,0.00092070660321,1.3655964086e-05,1,0,0,0.00288395529693,0.00829368448067
LPF,12,55,0.001,9.94707347543e-06,9.94668061339e-06,0.000920713180676,1.40656573115e-05,1,0,0,0.00297035817046,0.00879868328202
LPF,12,56,0.001,1.02483761313e-05,1.02479694911e-05,0.000920719699934,1.44917175545e-05,1,0,0,0.00306021632137,0.00933968955889
LPF,12,57,0.001,1.05619132117e-05,1.05614922898e-05,0.000920726160984,1.49350779183e-05,1,0,0,0.00315372108768,0.00991980289304
LPF,12,58,0.001,1.08883922636e-05,1.0887956524e-05,0.00092073250562,1.53967389144e-05,1,0,0,0.00325109225142,0.0105424394515
LPF,12,59,0.001,1.12285727817e-05,1.12281216558e-05,0.000920738733839,1.58777745109e-05,1,0,0,0.00335254688195,0.0112113696355
LPF,12,60,0.001,1.15832709936e-05,1.15828038764e-05,0.000920744845644,1.63793388994e-05,1,0,0,0.0034583369787,0.0119307609815
LPF,12,61,0.001,1.19533651014e-05,1.19528813509e-05,0.00092075089924,1.6902673907e-05,1,0,0,0.00356871741671,0.0127052270359
LPF,12,62,0.001,1.23398011659e-05,1.23393000996e-05,0.000920756894629,1.74491173167e-05,1,0,0,0.00368397552174,0.013539884116
LPF,12,63,0.001,1.27435995521e-05,1.27430804409e-05,0.000920762773603,1.80201119813e-05,1,0,0,0.00380441193728,0.0144404149702
LPF,12,64,0.001,1.31658622692e-05,1.31653243345e-05,0.000920768594369,1.86172162035e-05,1,0,0,0.00393035776471,0.0154131369677
LPF,12,65,0.001,1.36077810451e-05,1.36072234727e-05,0.00092077429872,1.92421151531e-05,1,0,0,0.0040621669104,0.0164650928348
LPF,12,66,0.001,1.40706463529e-05,1.4070068247e-05,0.000920779886656,1.98966336309e-05,1,0,0,0.00420022477614,0.0176041450381
LPF,12,67,0.001,1.45558575874e-05,1.45552580157e-05,0.000920785416383,2.05827504589e-05,1,0,0,0.0043449487693,0.018839087582
LPF,12,68,0.001,1.50649345079e-05,1.50643124717e-05,0.000920790887903,2.13026146614e-05,1,0,0,0.00449679117237,0.0201797753954
LPF,12,69,0.001,1.55995300322e-05,1.55988844297e-05,0.000920796243008,2.20585635563e-05,1,0,0,0.00465624615402,0.0216372744571
LPF,12,70,0.001,1.61614447343e-05,1.61607744279e-05,0.000920801539905,2.28531432549e-05,1,0,0,0.00482384872857,0.0232240364511
LPF,12,71,0.001,1.67526431969e-05,1.67519469463e-05,0.000920806720387,2.36891317865e-05,1,0,0,0.0050001863501,0.0249541025167
LPF,12,72,0.001,1.73752725731e-05,1.73745490439e-05,0.000920811842661,2.45695653445e-05,1,0,0,0.00518589748041,0.0268433416219
LPF,12,73,0.001,1.8031683637e-05,1.80309314001e-05,0.00092081684852,2.54977680542e-05,1,0,0,0.00538168321837,0.0289097302685
LPF,12,74,0.001,1.87244547543e-05,1.87236722626e-05,0.000920821796171,2.64773858674e-05,1,0,0,0.00558831312459,0.0311736816977
LPF,12,75,0.001,1.94564192307e-05,1.94556048213e-05,0.000920826685615,2.75124252357e-05,1,0,0,0.00580662687715,0.0336584345846
LPF,12,76,0.001,2.02306966715e-05,2.02298485516e-05,0.000920831458643,2.86072974539e-05,1,0,0,0.00603756278242,0.0363905142396
LPF,12,77,0.001,2.10507289035e-05,2.10498451227e-05,0.000920836173464,2.97668694558e-05,1,0,0,0.00628213392019,0.0394002834037
LPF,12,78,0.001,2.19203213836e-05,2.19193998434e-05,0.000920840771869,3.09965223683e-05,1,0,0,0.00654148573414,0.0427225824628
LPF,12,79,0.001,2.28436909571e-05,2.28427293663e-05,0.000920845312066,3.23022190442e-05,1,0,0,0.00681686673534,0.0463975237746
LPF,12,80,0.001,2.38255212283e-05,2.3824517089e-05,0.000920849735849,3.36905823595e-05,1,0,0,0.00710966714964,0.0504714260608
LPF,12,81,0.001,2.48710269235e-05,2.48699775224e-05,0.000920854101423,3.51689862258e-05,1,0,0,0.00742145037583,0.0549979457353
LPF,12,82,0.001,2.59860289035e-05,2.59849312879e-05,0.00092085840879,3.67456616627e-05,1,0,0,0.00775394284688,0.0600394450938
LPF,12,83,0.001,2.71770419888e-05,2.71758929111e-05,0.000920862599742,3.84298209871e-05,1,0,0,0.00810907818214,0.0656687324343
LPF,12,84,0.001,2.8451378221e-05,2.84501741352e-05,0.000920866732486,4.02318038305e-05,1,0,0,0.00848903162274,0.0719709512988
LPF,12,85,0.001,2.98172686447e-05,2.98160056419e-05,0.000920870748814,4.21632493457e-05,1,0,0,0.00889625076748,0.07904693771
LPF,12,86,0.001,3.1284007608e-05,3.12826813819e-05,0.000920874706935,4.42373002553e-05,1,0,0,0.00933349815612,0.0870149710418
LPF,12,87,0.001,3.28621245439e-05,3.28607303559e-05,0.000920878606848,4.64688457605e-05,1,0,0,0.00980390153541,0.0960152853742
LPF,12,88,0.001,3.4563589268e-05,3.45621218336e-05,0.000920882390346,4.88748118427e-05,1,0,0,0.0103112166043,0.106215199819
LPF,12,89,0.001,3.64020590038e-05,3.64005124979e-05,0.000920886115637,5.14745105722e-05,1,0,0,0.0108596560373,0.117815057791
LPF,12,90,0.001,3.83931763476e-05,3.83915442157e-05,0.000920889724512,5.42900614453e-05,1,0,0,0.0114536322132,0.131055997059
LPF,12,91,0.001,4.05549316298e-05,4.05532065944e-05,0.000920893275179,5.73469037851e-05,1,0,0,0.0120985118799,0.146229863573
LPF,12,92,0.001,4.29081057276e-05,4.29062796237e-05,0.000920896767639,6.06744229017e-05,1,0,0,0.0128004941887,0.163691953776
LPF,12,93,0.001,4.54768143222e-05,4.54748779433e-05,0.000920900143683,6.4306719703e-05,1,0,0,0.0135667730562,0.183877520583
LPF,12,94,0.001,4.82891820573e-05,4.82871249647e-05,0.00092090346152,6.82835639911e-05,1,0,0,0.0144057381016,0.207323332461
LPF,12,95,0.001,5.13781826358e-05,5.13759930117e-05,0.000920906662941,7.26515824068e-05,1,0,0,0.0153272250122,0.234696080899
LPF,12,96,0.001,5.47826953193e-05,5.47803597027e-05,0.000920909806155,7.74657523771e-05,1,0,0,0.0163428296683,0.266830160601
LPF,12,97,0.001,5.85488418476e-05,5.8546344775e-05,0.000920912832953,8.27912925941e-05,1,0,0,0.0174663049944,0.304778765305
LPF,12,98,0.001,6.27316964293e-05,6.272902005e-05,0.000920915801544,8.8706081036e-05,1,0,0,0.0187140713018,0.349882440131
LPF,12,99,0.001,6.73974906985e-05,6.73946143658e-05,0.000920918711927,9.53037728983e-05,1,0,0,0.0201058535083,0.403864360886
LPF,12,100,0.001,7.26264885495e-05,7.26233882205e-05,0.000920921505895,0.000102697865768,1,0,0,0.0216655185887,0.468962542383
LPF,12,101,0.001,7.85167748967e-05,7.85134222535e-05,0.000920924183447,0.000111027057142,1,0,0,0.0234226628365,0.548116594331
LPF,12,102,0.001,8.5189309989e-05,8.51856716373e-05,0.000920926802792,0.000120462391505,1,0,0,0.0254131649524,0.645235491853
LPF,12,103,0.001,9.27947620161e-05,9.27907979391e-05,0.000920929363929,0.000131216922014,1,0,0,0.0276819608398,0.765587744111
LPF,12,104,0.001,0.000101522878409,0.000101518540721,0.00092093180865,0.000143558962034,1,0,0,0.0302856341774,0.916380614518
LPF,12,105,0.001,0.000111615546173,0.000111610776439,0.000920934136957,0.000157830553175,1,0,0,0.0332963958267,1.10763692485
LPF,12,106,0.001,0.000123385317811,0.000123380044327,0.000920936407056,0.00017447366197,1,0,0,0.0368074672709,1.3535522185
LPF,12,107,0.001,0.000137242214939,0.000137236348381,0.000920938560739,0.00019406808167,1,0,0,0.0409411558316,1.67464779691
LPF,12,108,0.001,0.000153733372662,0.000153726800366,0.000920940656215,0.000217387491587,1,0,0,0.0458606846035,2.10128206825
LPF,12,109,0.001,0.000173603160215,0.000173595737669,0.000920942635275,0.000245484471005,1,0,0,0.0517881028306,2.67955882456
LPF,12,110,0.001,0.000197886977436,0.000197878515799,0.000920944497921,0.000279823132586,1,0,0,0.0590322842887,3.48162882981
LPF,12,111,0.001,0.000228062448606,0.000228052695826,0.000920946302358,0.00032249291882,1,0,0,0.0680340234593,4.62440224039
LPF,12,112,0.001,0.000266302551283,0.000266291162435,0.00092094799038,0.000376566540207,1,0,0,0.0794415480126,6.30519741964
LPF,12,113,0.001,0.000315918737801,0.000315905226065,0.000920949561987,0.000446726573571,1,0,14155,0.0942427076768,8.06754850414
LPF,12,114,0.001,0.000382179125589,0.000382162778881,0.000920951017179,0.000540422428445,1,0,20183,0.114009051145,8.13225550977
LPF,12,115,0.001,0.000473920528841,0.00047390024222,0.000920952355955,0.000670149849051,1,0,23349,0.141376720254,8.17741270367
LPF,12,116,0.001,0.000606991853217,0.00060696528746,0.000920953636523,0.000858320064918,1,0,25896,0.181073818504,8.21932276398
LPF,12,117,0.001,0.000812402482759,0.0008123489821,0.00114882655907,0.00114878205982,1,0,28357,0.242356061462,8.26570911315
