series,source,x,y
envelope,Roland hardware demo,1.245,0.10193338619013878
envelope,Roland hardware demo,1.255,0.0984494735623412
envelope,Roland hardware demo,1.265,0.09996088839823568
envelope,Roland hardware demo,1.275,0.10199161801218735
envelope,Roland hardware demo,1.285,0.10261039099390545
envelope,Roland hardware demo,1.295,0.10399242241071982
envelope,Roland hardware demo,1.305,0.10225436595962716
envelope,Roland hardware demo,1.315,0.10376495788372558
envelope,Roland hardware demo,1.325,0.1085634797640743
envelope,Roland hardware demo,1.335,0.1052260316634467
envelope,Roland hardware demo,1.345,0.09868211373040474
envelope,Roland hardware demo,1.355,0.10323881998742487
envelope,Roland hardware demo,1.365,0.10147950127953445
envelope,Roland hardware demo,1.375,0.10065015704878719
envelope,Roland hardware demo,1.385,0.09677826809035596
envelope,Roland hardware demo,1.395,0.1113379726886056
envelope,Roland hardware demo,1.405,0.10345960497494834
envelope,Roland hardware demo,1.415,0.10651788461043
envelope,Roland hardware demo,1.425,0.10864640498495073
envelope,Roland hardware demo,1.435,0.10646694549889774
envelope,Roland hardware demo,1.445,0.10048212555982503
envelope,Roland hardware demo,1.455,0.10307314491688685
envelope,Roland hardware demo,1.465,0.10211723702706564
envelope,Roland hardware demo,1.475,0.10192502364732789
envelope,Roland hardware demo,1.485,0.10072886451486006
envelope,Roland hardware demo,1.495,0.09957644144912495
envelope,Roland hardware demo,1.505,0.10272723857183846
envelope,Roland hardware demo,1.515,0.10104337028419
envelope,Roland hardware demo,1.525,0.1001087563945628
envelope,Roland hardware demo,1.535,0.1003720786653046
envelope,Roland hardware demo,1.545,0.09931977688628846
envelope,Roland hardware demo,1.555,0.10127454927486382
envelope,Roland hardware demo,1.565,0.09620712681994842
envelope,Roland hardware demo,1.575,0.09767062190728303
envelope,Roland hardware demo,1.585,0.10056100926166388
envelope,Roland hardware demo,1.595,0.100812685137445
envelope,Roland hardware demo,1.605,0.09930084738261774
envelope,Roland hardware demo,1.615,0.09527034458887185
envelope,Roland hardware demo,1.625,0.09757775595781025
envelope,Roland hardware demo,1.635,0.10001095748767815
envelope,Roland hardware demo,1.645,0.09994227668962372
envelope,Roland hardware demo,1.655,0.09690453164729718
envelope,Roland hardware demo,1.665,0.10257483983177404
envelope,Roland hardware demo,1.675,0.1002473276541592
envelope,Roland hardware demo,1.685,0.10011850792545221
envelope,Roland hardware demo,1.695,0.096763770257477
envelope,Roland hardware demo,1.705,0.0945832062492275
envelope,Roland hardware demo,1.715,0.0976870080756215
envelope,Roland hardware demo,1.725,0.09679720170853966
envelope,Roland hardware demo,1.735,0.09566929094120409
